Registration Number,Chassis_No,ChallanNo,Place,Date,State,Fine,Receipt Amout,Service Charge,Documents
DL51GD3869,MBX0009PN1G203996,UP108602230927175401,"117, Khera Colony Main Rd, Institutional Area, Block E, Sector 62, Noida, Uttar Pradesh 201010, India",##########,UP,500,300,50,
DL51GD4601,MD93WD6CZNK515795,DL19500250705153353,BIKANER CHOWK,##########,DL,20000,5000,50,
DL51GD4601,MD93WD6CZNK515795,DL19500250705153709,BIKANER CHOWK,##########,DL,20000,5000,50,
DL51GD5071,MBX0009PN1K229197,DL219332250517085145,H POINT,##########,DL,500,300,50,
DL51GD4988,MBX0009PN1K227577,DL103174250312172547,IDGHA,##########,DL,500,300,50,
DL51GD5174,MD9EMHDL22H217013,DL19923250320170201,MD MARG,##########,DL,500,300,50,
DL51GD5101,MD9EMHDL22H217004,DL26290250220103353,KAJHAWLLA RED LIGHT,##########,DL,500,300,50,
DL51GD5439,MD9EMHDL22H217003,DL283322250520163029,BIKANER CHOWK KAROL BAGH,##########,DL,20000,5000,50,
DL51GD5439,MD9EMHDL22H217003,DL283322250520162633,BIKANER CHOWK KAROL BAGH,##########,DL,20000,5000,50,
DL51GD5361,MD9EMHDL22H217020,DL17924250708123821,MALAI MANDIR,##########,DL,1500,300,50,
DL51GD6420,MD93WD6CGNL515084,DL103176250708115945,VIKASH PURI POLICE LINE,##########,DL,500,300,50,
DL51GD6562,MD93WD6CGNL515182,DL21497250518120134,MUNDKA,##########,DL,500,100,50,
DL51GD6697,MD93WD6CGNL515199,DL19923250411163723,DC OFFICE KAPASHERA,##########,DL,500,300,50,
DL51GD9769,MD9EMHDL23D217263,UP212958240806092827,N/A,##########,UP,2000,500,50,
DL51GD8920,MD9EMHDL23D217019,DL256410250410190438,BHAVBHUTI MARG,##########,DL,500,300,50,
DL51GD8960,MD9EMHDL23D217115,UP207219240801110539,"52, Captain Vijyant Thapar Marg, Atta Market, Pocket E, Sector 27, Noida, Uttar Pradesh 201301, India",##########,UP,2000,500,50,
DL51GD8971,MD9EMHDL23D217289,UP162698240517121103,N/A,##########,UP,500,100,50,
DL51GD8971,MD9EMHDL23D217289,UP176559240606155216,"143/1, Pandav Nagar, Ghaziabad, Uttar Pradesh 201002, India",##########,UP,2000,100,50,
DL51GD9886,MD9EMHDL23D217279,DL295043250701192950,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL51GD9886,MD9EMHDL23D217279,DL295043250701192550,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL51GD9886,MD9EMHDL23D217279,DL219738250423135517,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51GD9886,MD9EMHDL23D217279,DL219738250423134932,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51GD9824,MD9EMHDL23B217232,DL213374250611171651,DELHI GATE,##########,DL,500,300,50,
DL51EV0226,MD9EMHDL23G217049,DL289848250613191744,RAJGAHT PIT,##########,DL,500,300,50,
DL51GD8934,MD9EMHDL23B217275,DL20878241226135732,MANGOLPURI RED LIGHT,##########,DL,500,100,50,
DL51GD9827,MD9EMHDL23F217189,DL253819250503165627,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL51GD9827,MD9EMHDL23F217189,DL253819250503165010,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL51GD9827,MD9EMHDL23F217189,DL233326250605161153,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51GD9827,MD9EMHDL23F217189,DL233326250605160731,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51GD9852,MD9EMHDL23G217004,DL20925240303161530,MAYUR VIHAR PH-1,##########,DL,1000,800,50,
DL51GD9874,MD9EMHDL23F217142,DL180179250413150633,SARASWATI MARG,##########,DL,20000,5000,50,
DL51GD9874,MD9EMHDL23F217142,DL180179250413150335,SARASWATI MARG,##########,DL,20000,5000,50,
DL51EV0423,MD9EMHDL23F217083,DL294516250529175352,ASFI ALI ROAD,##########,DL,500,300,50,
DL51EV0213,MD9EMHDL23G217006,DL296890250701142504,SARASWATI CHOK,##########,DL,20000,5000,50,
DL51EV0213,MD9EMHDL23G217006,DL296890250701141412,SARASWATI CHOK,##########,DL,20000,5000,50,
DL51GD9843,MD9EMHDL23F217030,UP163289240314190405,"270 G, Kala Pathar Rd, Nyay Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India",##########,UP,500,100,50,
DL51EV1944,P6R3NAACGPJ000947,UP157619240702095011,"F-252, behind DPS School, Pratap Vihar, Ghaziabad, Uttar Pradesh 201009, India",##########,UP,500,100,50,
DL51EV2254,P6R3NAACGPJ001055,DL227567250316171137,AYRA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51EV2254,P6R3NAACGPJ001055,DL227567250316170807,AYRA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51EV2254,P6R3NAACGPJ001055,DL76573250421192940,DHULSIRAS CHOWK ROAD,##########,DL,500,300,50,
DL51EV2227,P6R3NAACGPJ001000,DL139521250414122030,NAJAFGARH ROAD,##########,DL,500,300,50,
DL51EV2448,P6R3NAACGPK001150,DL18022250508191228,MAHINDRA PARK RED LIGHT,##########,DL,1500,300,50,
DL51EV2276,P6R3NAACGPJ001048,UP212752240611111852,"Shop No. -2, Harbansh Market, Sector 18, Captain Vijyant Thapar Marg, near Metro Station, Atta, Atta Market, Pocket E, Sector 27, Noida, Uttar Pradesh 201301, India",##########,UP,2000,500,50,
DL51EV2441,P6R3NAACGPK001118,DL31800250409175639,PYARE LAL ROAD,##########,DL,20000,5000,50,
DL51EV2441,P6R3NAACGPK001118,DL31800250409174536,PYARE LAL ROAD,##########,DL,20000,5000,50,
DL51EV2451,P6R3NAACGPK001124,DL49506250222163613,BIKANER,##########,DL,20000,5000,50,
DL51EV2451,P6R3NAACGPK001124,DL49506250222163942,BIKANER,##########,DL,20000,5000,50,
DL51EV2137,P6R3NAACGPJ001031,DL21340250409164601,17 NO KOTHI RED LIGHT,##########,DL,500,300,50,
DL51EV2430,P6R3NAACGPJ001080,DL21386250712122029,DASRATPURI METRO GATE 1,##########,DL,500,300,50,
DL51EV2430,P6R3NAACGPJ001080,DL17902250509113334,MADHU VIHAR,##########,DL,500,300,50,
DL51EV2453,P6R3NAACGPJ001090,UP105561240509101746,"M9QG+82J, New Karhera Colony, Karera, Hindon Residential Area, Ghaziabad, Uttar Pradesh 201004, India",##########,UP,2000,100,50,
DL51EV2498,P6R3NAACGPJ001057,DL180179250429180143,SARASWATI MARG,##########,DL,500,300,50,
DL51EV2498,P6R3NAACGPJ001057,DL180179250429174923,SARASWATI MARG,##########,DL,25000,10000,50,
DL51EV2486,P6R3NAACGPK001132,DL21386250712121827,DASRATPURI METRO GATE 1,##########,DL,500,300,50,
DL51EV2486,P6R3NAACGPK001132,DL149446250505191203,PANKHA ROAD,##########,DL,1500,300,50,
DL51EV2442,P6R3NAACGPJ001007,DL18272250613180428,NDRS,##########,DL,500,300,50,
DL51EV2447,P6R3NAACGPJ001071,DL18203250501143508,DC OFFICE,##########,DL,500,300,50,
DL51EV2438,P6R3NAACGPK001113,UP116283240614162922,"Kalptaru Shop number SC-163, Jaipuria Sunrise Plaza, Ahinsa Khand 1, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India",##########,UP,500,100,50,
DL51EV2425,P6R3NAACGPJ001058,UP157619240619151406,N/A,##########,UP,500,100,50,
DL51EV2422,P6R3NAACGPK001161,DL19788250605143436,BANK STREET ROAD,##########,DL,20000,5000,50,
DL51EV2422,P6R3NAACGPK001161,DL19788250605143020,BANK STREET ROAD,##########,DL,20000,5000,50,
DL51EV3483,P6R3TAACGPK000284,DL297052250618182928,"NAIWALA ROAD ,KAROL BAGH",##########,DL,20000,5000,50,
DL51EV3483,P6R3TAACGPK000284,DL297052250618183919,"NAIWALA ROAD ,KAROL BAGH",##########,DL,20000,5000,50,
DL51EV3664,P6R3TAACGPK000241,DL19788250423141848,ARYA SAMAZ ROAD,##########,DL,20000,5000,50,
DL51EV3664,P6R3TAACGPK000241,DL19788250423141551,ARYA SAMAZ ROAD,##########,DL,20000,5000,50,
DL51EV3476,P6R3TAACGPK000287,DL90132250408120021,APPOLO RED LIGHT,##########,DL,500,300,50,
DL51EV3476,P6R3TAACGPK000287,DL283322250520144115,GURUDWARA ROAD KAROL BAGH,##########,DL,20000,5000,50,
DL51EV3476,P6R3TAACGPK000287,DL283322250520143721,GURUDWARA ROAD KAROL BAGH,##########,DL,20000,5000,50,
DL51EV3665,P6R3TAACGPK000259,DL127285250325150002,PADAM SINGH ROAD,##########,DL,20000,5000,50,
DL51EV3665,P6R3TAACGPK000259,DL127285250325145258,PADAM SINGH ROAD,##########,DL,20000,5000,50,
DL51EV3665,P6R3TAACGPK000259,DL19788250325151757,SARSWTI CHOCK,##########,DL,20000,5000,50,
